Jugadores,MIN,PTS,OREB,DREB,REB,AST,FP,PER,ROB,TAP,+/-,EFC,Team,Opp,Resultado,Game_URL,Fecha,Match_ID,Inicialistas,#_MADE,#_ATTEMPT,TCC,TCI,2PC,2PI,3PC,3PI,TLC,TLI
Renata Diaz,6.07,2.0,1.0,1.0,2.0,0.0,2.0,0.0,0.0,1.0,4.0,4.0,Sportiva Italiana,Ferro,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118314-FCO-SSI,13/SEPT/24,118314-FCO-SSI,No,9.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,2.0
Monserrat Barahona,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,Sportiva Italiana,Ferro,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118314-FCO-SSI,13/SEPT/24,118314-FCO-SSI,No,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sofía Antezana,14.92,3.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,Sportiva Italiana,Ferro,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118314-FCO-SSI,13/SEPT/24,118314-FCO-SSI,No,11.0,0.0,1.0,3.0,0.0,0.0,1.0,3.0,0.0,0.0
Constanza Cardenas ,11.15,3.0,1.0,2.0,3.0,0.0,4.0,2.0,0.0,0.0,-4.0,0.0,Sportiva Italiana,Ferro,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118314-FCO-SSI,13/SEPT/24,118314-FCO-SSI,Sí,12.0,0.0,1.0,4.0,1.0,4.0,0.0,0.0,1.0,2.0
Josefina Cortes ,35.62,17.0,2.0,15.0,17.0,0.0,2.0,2.0,0.0,0.0,17.0,23.0,Sportiva Italiana,Ferro,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118314-FCO-SSI,13/SEPT/24,118314-FCO-SSI,Sí,13.0,0.0,7.0,13.0,5.0,9.0,2.0,4.0,1.0,4.0
Martina Cabrera,13.23,0.0,0.0,1.0,1.0,0.0,4.0,1.0,1.0,1.0,-2.0,1.0,Sportiva Italiana,Ferro,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118314-FCO-SSI,13/SEPT/24,118314-FCO-SSI,No,15.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
Manuela Rios ,30.18,16.0,1.0,4.0,5.0,9.0,0.0,5.0,3.0,0.0,12.0,21.0,Sportiva Italiana,Ferro,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118314-FCO-SSI,13/SEPT/24,118314-FCO-SSI,Sí,19.0,0.0,5.0,12.0,5.0,9.0,0.0,3.0,6.0,6.0
Karla Martinez ,33.25,8.0,2.0,3.0,5.0,0.0,0.0,2.0,4.0,0.0,11.0,10.0,Sportiva Italiana,Ferro,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118314-FCO-SSI,13/SEPT/24,118314-FCO-SSI,Sí,77.0,0.0,2.0,7.0,1.0,1.0,1.0,6.0,3.0,3.0
Lara Leivas,8.08,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,-1.0,-2.0,Union Florida,Malvin,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118315-CUF-MAL,13/SEPT/24,118315-CUF-MAL,No,6.0,0.0,1.0,4.0,1.0,4.0,0.0,0.0,0.0,0.0
Sol Depetris,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Union Florida,Malvin,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118315-CUF-MAL,13/SEPT/24,118315-CUF-MAL,No,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Maria Laviero,21.37,12.0,2.0,1.0,3.0,1.0,2.0,0.0,2.0,0.0,18.0,15.0,Union Florida,Malvin,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118315-CUF-MAL,13/SEPT/24,118315-CUF-MAL,No,10.0,0.0,6.0,9.0,6.0,9.0,0.0,0.0,0.0,0.0
Sofia Zapke,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-3.0,Union Florida,Malvin,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118315-CUF-MAL,13/SEPT/24,118315-CUF-MAL,No,12.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0
Malena Maggi,8.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-9.0,-3.0,Union Florida,Malvin,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118315-CUF-MAL,13/SEPT/24,118315-CUF-MAL,No,13.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0
Munay Martinez ,12.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.0,-4.0,Union Florida,Malvin,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118315-CUF-MAL,13/SEPT/24,118315-CUF-MAL,Sí,14.0,0.0,0.0,4.0,0.0,3.0,0.0,1.0,0.0,0.0
Gisel Botta ,15.83,2.0,0.0,3.0,3.0,0.0,3.0,0.0,0.0,0.0,-5.0,-2.0,Union Florida,Malvin,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118315-CUF-MAL,13/SEPT/24,118315-CUF-MAL,Sí,15.0,0.0,1.0,6.0,1.0,1.0,0.0,5.0,0.0,2.0
Delfina Saravia ,30.98,7.0,0.0,2.0,2.0,1.0,3.0,2.0,2.0,0.0,1.0,4.0,Union Florida,Malvin,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118315-CUF-MAL,13/SEPT/24,118315-CUF-MAL,Sí,19.0,0.0,2.0,8.0,2.0,6.0,0.0,2.0,3.0,3.0
Giuliana Baccareli,32.27,6.0,0.0,6.0,6.0,0.0,2.0,4.0,2.0,1.0,5.0,5.0,Union Florida,Malvin,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118315-CUF-MAL,13/SEPT/24,118315-CUF-MAL,No,22.0,0.0,3.0,9.0,3.0,6.0,0.0,3.0,0.0,0.0
Victoria Gauna ,18.6,5.0,4.0,4.0,8.0,1.0,2.0,1.0,0.0,1.0,1.0,9.0,Union Florida,Malvin,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118315-CUF-MAL,13/SEPT/24,118315-CUF-MAL,Sí,23.0,0.0,2.0,6.0,2.0,5.0,0.0,1.0,1.0,2.0
Flor Martinez ,24.83,11.0,0.0,5.0,5.0,3.0,2.0,1.0,0.0,0.0,14.0,12.0,Union Florida,Malvin,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118315-CUF-MAL,13/SEPT/24,118315-CUF-MAL,Sí,55.0,0.0,4.0,9.0,2.0,4.0,2.0,5.0,1.0,2.0
Myriam Alonso,22.88,6.0,0.0,4.0,4.0,1.0,4.0,1.0,0.0,0.0,-7.0,3.0,Union Florida,Malvin,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118315-CUF-MAL,13/SEPT/24,118315-CUF-MAL,No,77.0,0.0,2.0,9.0,0.0,3.0,2.0,6.0,0.0,0.0
Agustina Marin ,27.45,3.0,0.0,2.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,-6.0,Malvin,Union Florida,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118315-CUF-MAL,13/SEPT/24,118315-CUF-MAL,Sí,2.0,0.0,0.0,10.0,0.0,9.0,0.0,1.0,3.0,4.0
Maria Midaglia,3.07,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-3.0,0.0,Malvin,Union Florida,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118315-CUF-MAL,13/SEPT/24,118315-CUF-MAL,No,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Florencia Mayola,21.33,2.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,-4.0,0.0,Malvin,Union Florida,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118315-CUF-MAL,13/SEPT/24,118315-CUF-MAL,No,7.0,0.0,1.0,3.0,1.0,1.0,0.0,2.0,0.0,0.0
Carolina Fernandez ,36.93,4.0,2.0,3.0,5.0,7.0,3.0,6.0,0.0,0.0,1.0,1.0,Malvin,Union Florida,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118315-CUF-MAL,13/SEPT/24,118315-CUF-MAL,Sí,8.0,0.0,2.0,11.0,2.0,4.0,0.0,7.0,0.0,0.0
Maria Jourdheuil ,29.4,16.0,0.0,7.0,7.0,1.0,2.0,3.0,1.0,0.0,3.0,14.0,Malvin,Union Florida,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118315-CUF-MAL,13/SEPT/24,118315-CUF-MAL,Sí,9.0,0.0,3.0,9.0,1.0,2.0,2.0,7.0,8.0,10.0
Paige Cannon ,21.85,6.0,2.0,4.0,6.0,1.0,3.0,1.0,1.0,1.0,2.0,10.0,Malvin,Union Florida,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118315-CUF-MAL,13/SEPT/24,118315-CUF-MAL,Sí,10.0,0.0,2.0,6.0,1.0,4.0,1.0,2.0,1.0,1.0
Carla Miculka ,36.5,12.0,0.0,15.0,15.0,4.0,3.0,5.0,0.0,0.0,7.0,21.0,Malvin,Union Florida,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118315-CUF-MAL,13/SEPT/24,118315-CUF-MAL,Sí,11.0,0.0,4.0,7.0,4.0,5.0,0.0,2.0,4.0,6.0
Emilia Larre,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Malvin,Union Florida,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118315-CUF-MAL,13/SEPT/24,118315-CUF-MAL,No,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sofia Guerra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Malvin,Union Florida,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118315-CUF-MAL,13/SEPT/24,118315-CUF-MAL,No,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ailen Sosa,4.35,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-5.0,1.0,Malvin,Union Florida,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118315-CUF-MAL,13/SEPT/24,118315-CUF-MAL,No,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Selena Medrick,5.62,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-4.0,1.0,Malvin,Union Florida,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118315-CUF-MAL,13/SEPT/24,118315-CUF-MAL,No,28.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0
