Jugadores,MIN,PTS,OREB,DREB,REB,AST,FP,PER,ROB,TAP,+/-,EFC,Team,Opp,Resultado,Game_URL,Fecha,Match_ID,Inicialistas,#_MADE,#_ATTEMPT,TCC,TCI,2PC,2PI,3PC,3PI,TLC,TLI
Maria Laviero,26.78,11.0,2.0,3.0,5.0,2.0,2.0,0.0,2.0,0.0,14.0,12.0,Union Florida,Sportiva Italiana,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118317-CUF-SSI,14/SEPT/24,118317-CUF-SSI,No,10.0,0.0,5.0,12.0,5.0,12.0,0.0,0.0,1.0,2.0
Sofia Zapke,2.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,0.0,Union Florida,Sportiva Italiana,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118317-CUF-SSI,14/SEPT/24,118317-CUF-SSI,No,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Malena Maggi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Union Florida,Sportiva Italiana,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118317-CUF-SSI,14/SEPT/24,118317-CUF-SSI,No,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Munay Martinez ,16.82,0.0,1.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,-5.0,1.0,Union Florida,Sportiva Italiana,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118317-CUF-SSI,14/SEPT/24,118317-CUF-SSI,Sí,14.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0
Gisel Botta,8.05,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-6.0,-2.0,Union Florida,Sportiva Italiana,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118317-CUF-SSI,14/SEPT/24,118317-CUF-SSI,No,15.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
Delfina Saravia ,24.5,13.0,0.0,2.0,2.0,3.0,4.0,3.0,0.0,1.0,16.0,14.0,Union Florida,Sportiva Italiana,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118317-CUF-SSI,14/SEPT/24,118317-CUF-SSI,Sí,19.0,0.0,4.0,6.0,2.0,3.0,2.0,3.0,3.0,3.0
Giuliana Baccareli,28.8,13.0,0.0,2.0,2.0,2.0,3.0,3.0,3.0,1.0,9.0,13.0,Union Florida,Sportiva Italiana,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118317-CUF-SSI,14/SEPT/24,118317-CUF-SSI,No,22.0,0.0,5.0,8.0,3.0,3.0,2.0,5.0,1.0,3.0
Victoria Gauna ,20.77,4.0,0.0,6.0,6.0,1.0,2.0,4.0,0.0,1.0,3.0,5.0,Union Florida,Sportiva Italiana,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118317-CUF-SSI,14/SEPT/24,118317-CUF-SSI,Sí,23.0,0.0,2.0,5.0,2.0,4.0,0.0,1.0,0.0,0.0
Flor Martinez ,30.2,9.0,0.0,9.0,9.0,7.0,3.0,3.0,2.0,0.0,16.0,18.0,Union Florida,Sportiva Italiana,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118317-CUF-SSI,14/SEPT/24,118317-CUF-SSI,Sí,55.0,0.0,3.0,9.0,2.0,5.0,1.0,4.0,2.0,2.0
Myriam Alonso,14.85,11.0,2.0,3.0,5.0,2.0,1.0,1.0,0.0,0.0,10.0,11.0,Union Florida,Sportiva Italiana,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118317-CUF-SSI,14/SEPT/24,118317-CUF-SSI,No,77.0,0.0,4.0,10.0,3.0,6.0,1.0,4.0,2.0,2.0
Amanda Guineo,7.47,0.0,0.0,2.0,2.0,0.0,1.0,3.0,0.0,0.0,3.0,-2.0,Sportiva Italiana,Union Florida,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118317-CUF-SSI,14/SEPT/24,118317-CUF-SSI,No,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
Andrea Valdes,17.37,6.0,0.0,2.0,2.0,1.0,2.0,1.0,1.0,0.0,-8.0,6.0,Sportiva Italiana,Union Florida,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118317-CUF-SSI,14/SEPT/24,118317-CUF-SSI,No,2.0,0.0,2.0,5.0,0.0,1.0,2.0,4.0,0.0,0.0
Catalina Perez ,34.58,5.0,0.0,6.0,6.0,7.0,2.0,1.0,4.0,2.0,-12.0,19.0,Sportiva Italiana,Union Florida,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118317-CUF-SSI,14/SEPT/24,118317-CUF-SSI,Sí,7.0,0.0,2.0,5.0,2.0,3.0,0.0,2.0,1.0,2.0
Florencia Barahona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sportiva Italiana,Union Florida,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118317-CUF-SSI,14/SEPT/24,118317-CUF-SSI,No,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Renata Diaz,3.32,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,-8.0,2.0,Sportiva Italiana,Union Florida,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118317-CUF-SSI,14/SEPT/24,118317-CUF-SSI,No,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Monserrat Barahona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sportiva Italiana,Union Florida,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118317-CUF-SSI,14/SEPT/24,118317-CUF-SSI,No,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sofía Antezana,2.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-5.0,-1.0,Sportiva Italiana,Union Florida,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118317-CUF-SSI,14/SEPT/24,118317-CUF-SSI,No,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Constanza Cardenas ,20.48,2.0,1.0,0.0,1.0,0.0,4.0,1.0,0.0,1.0,-2.0,-1.0,Sportiva Italiana,Union Florida,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118317-CUF-SSI,14/SEPT/24,118317-CUF-SSI,Sí,12.0,0.0,1.0,5.0,1.0,4.0,0.0,1.0,0.0,0.0
Josefina Cortes ,34.3,11.0,1.0,4.0,5.0,0.0,4.0,2.0,1.0,0.0,-1.0,11.0,Sportiva Italiana,Union Florida,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118317-CUF-SSI,14/SEPT/24,118317-CUF-SSI,Sí,13.0,0.0,4.0,8.0,1.0,4.0,3.0,4.0,0.0,0.0
Martina Cabrera,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.0,0.0,Sportiva Italiana,Union Florida,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118317-CUF-SSI,14/SEPT/24,118317-CUF-SSI,No,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Manuela Rios ,37.68,24.0,1.0,5.0,6.0,3.0,4.0,7.0,3.0,0.0,-12.0,12.0,Sportiva Italiana,Union Florida,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118317-CUF-SSI,14/SEPT/24,118317-CUF-SSI,Sí,19.0,0.0,8.0,21.0,8.0,16.0,0.0,5.0,8.0,12.0
Karla Martinez ,40.0,13.0,2.0,7.0,9.0,0.0,0.0,1.0,1.0,0.0,-13.0,12.0,Sportiva Italiana,Union Florida,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118317-CUF-SSI,14/SEPT/24,118317-CUF-SSI,Sí,77.0,0.0,4.0,13.0,3.0,6.0,1.0,7.0,4.0,5.0
Melody Osuna,5.48,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,Ferro,Union Florida,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118318-FCO-CUF,15/SEPT/24,118318-FCO-CUF,No,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0
Florencia Fernandez,8.23,6.0,1.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,-1.0,6.0,Ferro,Union Florida,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118318-FCO-CUF,15/SEPT/24,118318-FCO-CUF,No,1.0,0.0,1.0,5.0,1.0,5.0,0.0,0.0,4.0,4.0
Stephanie Smidt,10.55,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,-8.0,1.0,Ferro,Union Florida,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118318-FCO-CUF,15/SEPT/24,118318-FCO-CUF,No,4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
Julia Fernandez ,18.93,7.0,1.0,10.0,11.0,0.0,3.0,2.0,0.0,0.0,-19.0,11.0,Ferro,Union Florida,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118318-FCO-CUF,15/SEPT/24,118318-FCO-CUF,Sí,5.0,0.0,0.0,4.0,0.0,3.0,0.0,1.0,7.0,8.0
Candela Foresto ,23.08,10.0,0.0,2.0,2.0,1.0,2.0,0.0,3.0,0.0,-21.0,10.0,Ferro,Union Florida,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118318-FCO-CUF,15/SEPT/24,118318-FCO-CUF,Sí,7.0,0.0,3.0,9.0,1.0,2.0,2.0,7.0,2.0,2.0
Mora Sauro,4.67,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,Ferro,Union Florida,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118318-FCO-CUF,15/SEPT/24,118318-FCO-CUF,No,8.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
Abril Romagnoli ,21.17,0.0,0.0,1.0,1.0,3.0,3.0,0.0,2.0,0.0,-12.0,-2.0,Ferro,Union Florida,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118318-FCO-CUF,15/SEPT/24,118318-FCO-CUF,Sí,11.0,0.0,0.0,8.0,0.0,6.0,0.0,2.0,0.0,0.0
Lucila Sampietro,19.08,1.0,0.0,1.0,1.0,0.0,3.0,0.0,1.0,0.0,-12.0,-4.0,Ferro,Union Florida,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118318-FCO-CUF,15/SEPT/24,118318-FCO-CUF,No,13.0,0.0,0.0,6.0,0.0,3.0,0.0,3.0,1.0,2.0
Maribel Barzola,21.95,8.0,1.0,3.0,4.0,0.0,2.0,2.0,1.0,0.0,-7.0,2.0,Ferro,Union Florida,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118318-FCO-CUF,15/SEPT/24,118318-FCO-CUF,No,14.0,0.0,3.0,10.0,1.0,5.0,2.0,5.0,0.0,2.0
Julieta Perez ,23.88,9.0,2.0,5.0,7.0,0.0,4.0,2.0,3.0,0.0,-10.0,10.0,Ferro,Union Florida,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118318-FCO-CUF,15/SEPT/24,118318-FCO-CUF,Sí,16.0,0.0,3.0,9.0,3.0,8.0,0.0,1.0,3.0,4.0
Dalma Piri,18.0,7.0,1.0,1.0,2.0,1.0,2.0,3.0,2.0,0.0,-10.0,4.0,Ferro,Union Florida,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118318-FCO-CUF,15/SEPT/24,118318-FCO-CUF,No,23.0,0.0,2.0,7.0,1.0,3.0,1.0,4.0,2.0,2.0
Micaela Gonzalez ,24.97,2.0,0.0,3.0,3.0,0.0,4.0,2.0,0.0,0.0,-18.0,-3.0,Ferro,Union Florida,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118318-FCO-CUF,15/SEPT/24,118318-FCO-CUF,Sí,24.0,0.0,1.0,7.0,1.0,5.0,0.0,2.0,0.0,0.0
Lara Leivas ,19.37,8.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,12.0,8.0,Union Florida,Ferro,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118318-FCO-CUF,15/SEPT/24,118318-FCO-CUF,Sí,6.0,0.0,3.0,5.0,3.0,5.0,0.0,0.0,2.0,2.0
Sol Depetris,20.83,7.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,10.0,3.0,Union Florida,Ferro,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118318-FCO-CUF,15/SEPT/24,118318-FCO-CUF,No,7.0,0.0,1.0,4.0,0.0,1.0,1.0,3.0,4.0,7.0
Maria Laviero,13.08,8.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,8.0,Union Florida,Ferro,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118318-FCO-CUF,15/SEPT/24,118318-FCO-CUF,No,10.0,0.0,3.0,3.0,3.0,3.0,0.0,0.0,2.0,4.0
Sofia Zapke,8.97,6.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,6.0,5.0,Union Florida,Ferro,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118318-FCO-CUF,15/SEPT/24,118318-FCO-CUF,No,12.0,0.0,2.0,4.0,0.0,0.0,2.0,4.0,0.0,0.0
Malena Maggi,11.12,11.0,0.0,4.0,4.0,0.0,2.0,1.0,1.0,0.0,13.0,14.0,Union Florida,Ferro,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118318-FCO-CUF,15/SEPT/24,118318-FCO-CUF,No,13.0,0.0,5.0,6.0,4.0,5.0,1.0,1.0,0.0,0.0
Munay Martinez,12.88,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,Union Florida,Ferro,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118318-FCO-CUF,15/SEPT/24,118318-FCO-CUF,No,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gisel Botta ,22.97,0.0,0.0,9.0,9.0,2.0,2.0,2.0,1.0,1.0,7.0,5.0,Union Florida,Ferro,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118318-FCO-CUF,15/SEPT/24,118318-FCO-CUF,Sí,15.0,0.0,0.0,4.0,0.0,1.0,0.0,3.0,0.0,2.0
Delfina Saravia ,20.72,4.0,0.0,5.0,5.0,3.0,1.0,2.0,1.0,0.0,15.0,7.0,Union Florida,Ferro,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118318-FCO-CUF,15/SEPT/24,118318-FCO-CUF,Sí,19.0,0.0,0.0,4.0,0.0,2.0,0.0,2.0,4.0,4.0
Giuliana Baccareli,20.27,11.0,0.0,6.0,6.0,0.0,3.0,2.0,2.0,0.0,12.0,13.0,Union Florida,Ferro,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118318-FCO-CUF,15/SEPT/24,118318-FCO-CUF,No,22.0,0.0,4.0,8.0,1.0,3.0,3.0,5.0,0.0,0.0
Victoria Gauna ,17.2,11.0,1.0,5.0,6.0,2.0,2.0,1.0,1.0,0.0,7.0,11.0,Union Florida,Ferro,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118318-FCO-CUF,15/SEPT/24,118318-FCO-CUF,Sí,23.0,0.0,4.0,11.0,4.0,8.0,0.0,3.0,3.0,4.0
Flor Martinez ,18.92,4.0,0.0,4.0,4.0,5.0,3.0,7.0,0.0,0.0,14.0,1.0,Union Florida,Ferro,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118318-FCO-CUF,15/SEPT/24,118318-FCO-CUF,Sí,55.0,0.0,1.0,5.0,0.0,2.0,1.0,3.0,1.0,2.0
Myriam Alonso,13.68,4.0,4.0,6.0,10.0,2.0,2.0,1.0,1.0,0.0,15.0,10.0,Union Florida,Ferro,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118318-FCO-CUF,15/SEPT/24,118318-FCO-CUF,No,77.0,0.0,1.0,5.0,1.0,3.0,0.0,2.0,2.0,4.0
Amanda Guineo,20.1,2.0,0.0,1.0,1.0,0.0,4.0,1.0,0.0,0.0,14.0,0.0,Sportiva Italiana,Malvin,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118319-SSI-MAL,15/SEPT/24,118319-SSI-MAL,No,0.0,0.0,1.0,3.0,1.0,2.0,0.0,1.0,0.0,0.0
Andrea Valdes,17.5,8.0,0.0,3.0,3.0,1.0,2.0,2.0,0.0,1.0,8.0,7.0,Sportiva Italiana,Malvin,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118319-SSI-MAL,15/SEPT/24,118319-SSI-MAL,No,2.0,0.0,3.0,7.0,1.0,1.0,2.0,6.0,0.0,0.0
Catalina Perez ,23.08,5.0,0.0,3.0,3.0,4.0,4.0,0.0,3.0,0.0,-3.0,4.0,Sportiva Italiana,Malvin,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118319-SSI-MAL,15/SEPT/24,118319-SSI-MAL,Sí,7.0,0.0,2.0,13.0,1.0,8.0,1.0,5.0,0.0,0.0
Florencia Barahona,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sportiva Italiana,Malvin,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118319-SSI-MAL,15/SEPT/24,118319-SSI-MAL,No,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Renata Diaz,1.53,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,Sportiva Italiana,Malvin,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118319-SSI-MAL,15/SEPT/24,118319-SSI-MAL,No,9.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
Monserrat Barahona,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sportiva Italiana,Malvin,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118319-SSI-MAL,15/SEPT/24,118319-SSI-MAL,No,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sofía Antezana,4.18,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-6.0,0.0,Sportiva Italiana,Malvin,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118319-SSI-MAL,15/SEPT/24,118319-SSI-MAL,No,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Constanza Cardenas ,27.45,8.0,1.0,4.0,5.0,0.0,3.0,2.0,1.0,1.0,1.0,10.0,Sportiva Italiana,Malvin,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118319-SSI-MAL,15/SEPT/24,118319-SSI-MAL,Sí,12.0,0.0,4.0,7.0,4.0,7.0,0.0,0.0,0.0,0.0
Josefina Cortes ,28.23,13.0,4.0,7.0,11.0,2.0,3.0,2.0,0.0,0.0,12.0,13.0,Sportiva Italiana,Malvin,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118319-SSI-MAL,15/SEPT/24,118319-SSI-MAL,Sí,13.0,0.0,5.0,14.0,5.0,12.0,0.0,2.0,3.0,5.0
Martina Cabrera,3.37,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,-3.0,-1.0,Sportiva Italiana,Malvin,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118319-SSI-MAL,15/SEPT/24,118319-SSI-MAL,No,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Manuela Rios ,36.88,27.0,4.0,4.0,8.0,4.0,3.0,7.0,1.0,0.0,11.0,16.0,Sportiva Italiana,Malvin,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118319-SSI-MAL,15/SEPT/24,118319-SSI-MAL,Sí,19.0,0.0,9.0,20.0,8.0,15.0,1.0,5.0,8.0,14.0
Karla Martinez ,37.17,7.0,1.0,9.0,10.0,1.0,1.0,1.0,1.0,1.0,14.0,10.0,Sportiva Italiana,Malvin,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118319-SSI-MAL,15/SEPT/24,118319-SSI-MAL,Sí,77.0,0.0,3.0,12.0,2.0,5.0,1.0,7.0,0.0,0.0
Agustina Marin ,33.85,9.0,0.0,3.0,3.0,3.0,2.0,3.0,2.0,1.0,-1.0,4.0,Malvin,Sportiva Italiana,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118319-SSI-MAL,15/SEPT/24,118319-SSI-MAL,Sí,2.0,0.0,3.0,12.0,2.0,6.0,1.0,6.0,2.0,4.0
Maria Midaglia,12.27,3.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,-10.0,-2.0,Malvin,Sportiva Italiana,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118319-SSI-MAL,15/SEPT/24,118319-SSI-MAL,No,4.0,0.0,1.0,8.0,0.0,3.0,1.0,5.0,0.0,0.0
Florencia Mayola,13.0,2.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,-10.0,-1.0,Malvin,Sportiva Italiana,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118319-SSI-MAL,15/SEPT/24,118319-SSI-MAL,No,7.0,0.0,1.0,3.0,1.0,1.0,0.0,2.0,0.0,0.0
Carolina Fernandez ,37.87,12.0,4.0,3.0,7.0,4.0,5.0,1.0,0.0,0.0,-8.0,14.0,Malvin,Sportiva Italiana,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118319-SSI-MAL,15/SEPT/24,118319-SSI-MAL,Sí,8.0,0.0,3.0,9.0,1.0,3.0,2.0,6.0,4.0,6.0
Maria Jourdheuil ,36.53,19.0,2.0,10.0,12.0,4.0,3.0,5.0,2.0,0.0,-6.0,18.0,Malvin,Sportiva Italiana,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118319-SSI-MAL,15/SEPT/24,118319-SSI-MAL,Sí,9.0,0.0,5.0,17.0,1.0,6.0,4.0,11.0,5.0,7.0
Paige Cannon ,17.58,7.0,2.0,7.0,9.0,2.0,1.0,2.0,0.0,1.0,4.0,13.0,Malvin,Sportiva Italiana,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118319-SSI-MAL,15/SEPT/24,118319-SSI-MAL,Sí,10.0,0.0,3.0,7.0,2.0,5.0,1.0,2.0,0.0,0.0
Carla Miculka ,16.85,4.0,0.0,8.0,8.0,0.0,4.0,2.0,0.0,1.0,-1.0,10.0,Malvin,Sportiva Italiana,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118319-SSI-MAL,15/SEPT/24,118319-SSI-MAL,Sí,11.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,2.0,2.0
Emilia Larre,2.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,Malvin,Sportiva Italiana,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118319-SSI-MAL,15/SEPT/24,118319-SSI-MAL,No,14.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
Sofia Guerra,2.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,Malvin,Sportiva Italiana,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118319-SSI-MAL,15/SEPT/24,118319-SSI-MAL,No,21.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
Ailen Sosa,8.7,1.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,Malvin,Sportiva Italiana,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118319-SSI-MAL,15/SEPT/24,118319-SSI-MAL,No,22.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0
Selena Medrick,11.63,2.0,0.0,4.0,4.0,0.0,0.0,3.0,0.0,0.0,-2.0,1.0,Malvin,Sportiva Italiana,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118319-SSI-MAL,15/SEPT/24,118319-SSI-MAL,No,28.0,0.0,1.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0
Paula Fernandez,7.45,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,-9.0,1.0,Malvin,Sportiva Italiana,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118319-SSI-MAL,15/SEPT/24,118319-SSI-MAL,No,32.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0
Daihana Murillo ,29.4,9.0,2.0,3.0,5.0,0.0,1.0,1.0,0.0,2.0,1.0,8.0,Indeportes Antioquia,Pioneras de Delicias,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118320-IND-PIO,28/SEPT/24,118320-IND-PIO,Sí,4.0,0.0,4.0,11.0,3.0,8.0,1.0,3.0,0.0,0.0
Yuliany Paz ,27.53,8.0,3.0,6.0,9.0,1.0,2.0,3.0,1.0,4.0,1.0,17.0,Indeportes Antioquia,Pioneras de Delicias,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118320-IND-PIO,28/SEPT/24,118320-IND-PIO,Sí,6.0,0.0,4.0,7.0,4.0,7.0,0.0,0.0,0.0,0.0
Laura Ramirez,9.25,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,Indeportes Antioquia,Pioneras de Delicias,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118320-IND-PIO,28/SEPT/24,118320-IND-PIO,No,7.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,2.0
Carolina Lopez ,21.75,6.0,2.0,2.0,4.0,6.0,5.0,2.0,3.0,0.0,12.0,15.0,Indeportes Antioquia,Pioneras de Delicias,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118320-IND-PIO,28/SEPT/24,118320-IND-PIO,Sí,8.0,0.0,1.0,3.0,1.0,3.0,0.0,0.0,4.0,4.0
Valentina Lopez,30.87,8.0,2.0,1.0,3.0,2.0,0.0,3.0,2.0,0.0,3.0,3.0,Indeportes Antioquia,Pioneras de Delicias,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118320-IND-PIO,28/SEPT/24,118320-IND-PIO,No,10.0,0.0,2.0,9.0,1.0,7.0,1.0,2.0,3.0,5.0
