#,Jugadores,MIN,PTS,TC,2PT TC,3PT TC,TL,OREB,DREB,REB,AST,FP,PER,ROB,TAP,+/-,EFC,Team,Opp,Resultado,Game_URL,Fecha,Match_ID
6,Lara Leivas *,20:10,8,1/9(11.1%),1/6(16.7%),0/3(0%),6/6(100%),3,1,4.0,2.0,2.0,2.0,0.0,0.0,10.0,4.0,Union Florida,Sportiva Italiana,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/119976-CUF-SSI,Desconocida,119976-CUF-SSI
7,Sol Depetris,No jugó,No jugó,No jugó,No jugó,No jugó,No jugó,No jugó,No jugó,,,,,,,,,Union Florida,Sportiva Italiana,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/119976-CUF-SSI,Desconocida,119976-CUF-SSI
10,Maria Laviero *,25:01,6,2/7(28.6%),2/7(28.6%),0/0(0%),2/2(100%),2,3,5.0,0.0,2.0,0.0,0.0,0.0,9.0,6.0,Union Florida,Sportiva Italiana,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/119976-CUF-SSI,Desconocida,119976-CUF-SSI
12,Sofia Zapke,02:25,0,0/0(0%),0/0(0%),0/0(0%),0/0(0%),0,0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,Union Florida,Sportiva Italiana,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/119976-CUF-SSI,Desconocida,119976-CUF-SSI
13,Malena Maggi,20:17,4,1/5(20%),1/3(33.3%),0/2(0%),2/6(33.3%),0,6,6.0,0.0,0.0,2.0,1.0,1.0,6.0,2.0,Union Florida,Sportiva Italiana,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/119976-CUF-SSI,Desconocida,119976-CUF-SSI
14,Munay Martinez,04:48,0,0/2(0%),0/0(0%),0/2(0%),0/0(0%),0,1,1.0,0.0,0.0,1.0,0.0,0.0,-4.0,-2.0,Union Florida,Sportiva Italiana,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/119976-CUF-SSI,Desconocida,119976-CUF-SSI
15,Gisel Botta,08:32,6,2/2(100%),2/2(100%),0/0(0%),2/2(100%),1,3,4.0,1.0,2.0,5.0,1.0,0.0,-6.0,7.0,Union Florida,Sportiva Italiana,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/119976-CUF-SSI,Desconocida,119976-CUF-SSI
19,Delfina Saravia *,21:17,7,2/5(40%),1/3(33.3%),1/2(50%),2/2(100%),0,2,2.0,3.0,4.0,1.0,0.0,0.0,10.0,8.0,Union Florida,Sportiva Italiana,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/119976-CUF-SSI,Desconocida,119976-CUF-SSI
22,Giuliana Baccareli,18:57,4,1/4(25%),1/2(50%),0/2(0%),2/2(100%),1,4,5.0,1.0,4.0,2.0,1.0,0.0,2.0,6.0,Union Florida,Sportiva Italiana,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/119976-CUF-SSI,Desconocida,119976-CUF-SSI
23,Sarah Mgbeike,16:17,10,4/7(57.1%),4/7(57.1%),0/0(0%),2/3(66.7%),0,5,5.0,0.0,5.0,2.0,1.0,0.0,-1.0,10.0,Union Florida,Sportiva Italiana,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/119976-CUF-SSI,Desconocida,119976-CUF-SSI
55,Flor Martinez *,33:04,15,5/9(55.6%),4/6(66.7%),1/3(33.3%),4/4(100%),0,11,11.0,6.0,3.0,3.0,2.0,0.0,4.0,27.0,Union Florida,Sportiva Italiana,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/119976-CUF-SSI,Desconocida,119976-CUF-SSI
77,Myriam Alonso *,29:12,20,8/18(44.4%),7/15(46.7%),1/3(33.3%),3/4(75%),2,4,6.0,1.0,2.0,0.0,1.0,1.0,12.0,18.0,Union Florida,Sportiva Italiana,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/119976-CUF-SSI,Desconocida,119976-CUF-SSI
Team/Coaches,Team/Coaches,,,,,,,3,4,7.0,,0.0,1.0,,,,86.0,Union Florida,Sportiva Italiana,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/119976-CUF-SSI,Desconocida,119976-CUF-SSI
TOTAL,TOTAL,200,80,26/68(38.2%),23/51(45.1%),3/17(17.7%),25/31(80.7%),12,44,56.0,14.0,24.0,19.0,7.0,2.0,,86.0,Union Florida,Sportiva Italiana,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/119976-CUF-SSI,Desconocida,119976-CUF-SSI
0,Amanda Guineo,09:26,5,2/4(50%),1/3(33.3%),1/1(100%),0/0(0%),2,0,2.0,1.0,1.0,2.0,1.0,0.0,1.0,5.0,Sportiva Italiana,Union Florida,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/119976-CUF-SSI,Desconocida,119976-CUF-SSI
2,Andrea Valdes,10:03,3,1/3(33.3%),0/0(0%),1/3(33.3%),0/0(0%),0,2,2.0,0.0,3.0,0.0,0.0,0.0,-4.0,3.0,Sportiva Italiana,Union Florida,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/119976-CUF-SSI,Desconocida,119976-CUF-SSI
7,Catalina Perez *,33:52,6,2/5(40%),2/3(66.7%),0/2(0%),2/4(50%),1,6,7.0,2.0,3.0,1.0,1.0,1.0,-10.0,11.0,Sportiva Italiana,Union Florida,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/119976-CUF-SSI,Desconocida,119976-CUF-SSI
9,Renata Diaz,No jugó,No jugó,No jugó,No jugó,No jugó,No jugó,No jugó,No jugó,,,,,,,,,Sportiva Italiana,Union Florida,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/119976-CUF-SSI,Desconocida,119976-CUF-SSI
10,Monserrat Barahona,No jugó,No jugó,No jugó,No jugó,No jugó,No jugó,No jugó,No jugó,,,,,,,,,Sportiva Italiana,Union Florida,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/119976-CUF-SSI,Desconocida,119976-CUF-SSI
11,Sofía Antezana,07:33,0,0/3(0%),0/0(0%),0/3(0%),0/0(0%),0,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-3.0,Sportiva Italiana,Union Florida,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/119976-CUF-SSI,Desconocida,119976-CUF-SSI
13,Josefina Cortes *,22:27,5,2/9(22.2%),1/4(25%),1/5(20%),0/0(0%),4,5,9.0,1.0,3.0,0.0,2.0,1.0,-1.0,11.0,Sportiva Italiana,Union Florida,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/119976-CUF-SSI,Desconocida,119976-CUF-SSI
14,Antonia Andaur,22:20,11,4/9(44.4%),1/1(100%),3/8(37.5%),0/0(0%),0,2,2.0,0.0,2.0,0.0,1.0,0.0,3.0,9.0,Sportiva Italiana,Union Florida,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/119976-CUF-SSI,Desconocida,119976-CUF-SSI
15,Martina Cabrera,06:59,0,0/1(0%),0/1(0%),0/0(0%),0/0(0%),0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,Sportiva Italiana,Union Florida,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/119976-CUF-SSI,Desconocida,119976-CUF-SSI
19,Manuela Rios *,33:04,21,6/18(33.3%),2/8(25%),4/10(40%),5/9(55.6%),1,3,4.0,6.0,3.0,4.0,1.0,0.0,-8.0,12.0,Sportiva Italiana,Union Florida,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/119976-CUF-SSI,Desconocida,119976-CUF-SSI
28,Dorie Harrison *,34:06,16,5/20(25%),5/20(25%),0/0(0%),6/11(54.5%),5,4,9.0,1.0,5.0,7.0,1.0,2.0,-7.0,2.0,Sportiva Italiana,Union Florida,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/119976-CUF-SSI,Desconocida,119976-CUF-SSI
77,Karla Martinez *,20:10,5,1/3(33.3%),0/1(0%),1/2(50%),2/3(66.7%),0,6,6.0,0.0,2.0,1.0,0.0,0.0,-16.0,7.0,Sportiva Italiana,Union Florida,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/119976-CUF-SSI,Desconocida,119976-CUF-SSI
Team/Coaches,Team/Coaches,,,,,,,1,4,5.0,,0.0,1.0,,,,56.0,Sportiva Italiana,Union Florida,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/119976-CUF-SSI,Desconocida,119976-CUF-SSI
TOTAL,TOTAL,200,72,23/75(30.7%),12/41(29.3%),11/34(32.4%),15/27(55.6%),14,32,46.0,11.0,23.0,16.0,7.0,4.0,,56.0,Sportiva Italiana,Union Florida,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/119976-CUF-SSI,Desconocida,119976-CUF-SSI
