#,Jugadores,MIN,PTS,TC,2PT TC,3PT TC,TL,OREB,DREB,REB,AST,FP,PER,ROB,TAP,+/-,EFC,Team,Opp,Resultado,Game_URL,Fecha,Match_ID
4,Daihana Murillo *,27:22,1,0/4(0%),0/1(0%),0/3(0%),1/2(50%),1,3,4.0,1.0,3.0,1.0,0.0,0.0,-15.0,0.0,Indeportes Antioquia,Phoenix,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118322-IND-BAP,Desconocida,118322-IND-BAP
6,Yuliany Paz *,24:26,4,1/7(14.3%),1/7(14.3%),0/0(0%),2/4(50%),5,4,9.0,0.0,4.0,4.0,1.0,1.0,6.0,3.0,Indeportes Antioquia,Phoenix,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118322-IND-BAP,Desconocida,118322-IND-BAP
7,Laura Ramirez,07:10,1,0/1(0%),0/0(0%),0/1(0%),1/2(50%),0,1,1.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,Indeportes Antioquia,Phoenix,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118322-IND-BAP,Desconocida,118322-IND-BAP
8,Carolina Lopez *,25:29,8,4/12(33.3%),4/10(40%),0/2(0%),0/0(0%),0,4,4.0,5.0,0.0,4.0,2.0,0.0,-5.0,7.0,Indeportes Antioquia,Phoenix,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118322-IND-BAP,Desconocida,118322-IND-BAP
10,Valentina Lopez *,31:33,9,2/7(28.6%),1/2(50%),1/5(20%),4/5(80%),1,3,4.0,0.0,0.0,3.0,2.0,0.0,-1.0,6.0,Indeportes Antioquia,Phoenix,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118322-IND-BAP,Desconocida,118322-IND-BAP
11,Mayra Caicedo,22:09,13,5/14(35.7%),2/7(28.6%),3/7(42.9%),0/0(0%),0,6,6.0,3.0,3.0,2.0,2.0,0.0,14.0,13.0,Indeportes Antioquia,Phoenix,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118322-IND-BAP,Desconocida,118322-IND-BAP
12,Jenifer Muñoz *,36:31,12,4/11(36.4%),3/8(37.5%),1/3(33.3%),3/3(100%),1,10,11.0,0.0,2.0,1.0,2.0,2.0,-6.0,19.0,Indeportes Antioquia,Phoenix,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118322-IND-BAP,Desconocida,118322-IND-BAP
13,Lorena Hurtado,03:08,0,0/0(0%),0/0(0%),0/0(0%),0/0(0%),0,0,0.0,0.0,0.0,1.0,0.0,0.0,-3.0,-1.0,Indeportes Antioquia,Phoenix,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118322-IND-BAP,Desconocida,118322-IND-BAP
14,Marlyn Vente,22:13,4,1/4(25%),1/4(25%),0/0(0%),2/2(100%),0,4,4.0,0.0,3.0,2.0,0.0,1.0,-2.0,4.0,Indeportes Antioquia,Phoenix,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118322-IND-BAP,Desconocida,118322-IND-BAP
16,Estefania Andrade,No jugó,No jugó,No jugó,No jugó,No jugó,No jugó,No jugó,No jugó,,,,,,,,,Indeportes Antioquia,Phoenix,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118322-IND-BAP,Desconocida,118322-IND-BAP
