#,Jugadores,MIN,PTS,TC,2PT TC,3PT TC,TL,OREB,DREB,REB,AST,FP,PER,ROB,TAP,+/-,EFC,Team,Opp,Resultado,Game_URL,Fecha,Match_ID
22,Melisa Suaza,No jugó,No jugó,No jugó,No jugó,No jugó,No jugó,No jugó,No jugó,,,,,,,,,Indeportes Antioquia,Phoenix,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118322-IND-BAP,Desconocida,118322-IND-BAP
24,Maria Salguedo,No jugó,No jugó,No jugó,No jugó,No jugó,No jugó,No jugó,No jugó,,,,,,,,,Indeportes Antioquia,Phoenix,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118322-IND-BAP,Desconocida,118322-IND-BAP
Team/Coaches,Team/Coaches,,,,,,,1,2,3.0,,0.0,0.0,,,,51.0,Indeportes Antioquia,Phoenix,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118322-IND-BAP,Desconocida,118322-IND-BAP
TOTAL,TOTAL,200,52,17/60(28.3%),12/39(30.8%),5/21(23.8%),13/18(72.2%),9,37,46.0,9.0,15.0,18.0,9.0,4.0,,51.0,Indeportes Antioquia,Phoenix,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118322-IND-BAP,Desconocida,118322-IND-BAP
1,Ameela Li *,33:29,11,5/19(26.3%),4/11(36.4%),1/8(12.5%),0/0(0%),3,2,5.0,2.0,3.0,4.0,4.0,0.0,10.0,4.0,Phoenix,Indeportes Antioquia,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118322-IND-BAP,Desconocida,118322-IND-BAP
3,Danielle Robinson *,32:25,4,1/9(11.1%),1/9(11.1%),0/0(0%),2/4(50%),0,2,2.0,1.0,2.0,1.0,2.0,0.0,-5.0,-2.0,Phoenix,Indeportes Antioquia,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118322-IND-BAP,Desconocida,118322-IND-BAP
5,Kamilah Jackson *,14:47,2,1/4(25%),1/4(25%),0/0(0%),0/0(0%),1,3,4.0,2.0,1.0,1.0,0.0,0.0,0.0,4.0,Phoenix,Indeportes Antioquia,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118322-IND-BAP,Desconocida,118322-IND-BAP
10,Aquira Decosta,06:44,2,0/3(0%),0/2(0%),0/1(0%),2/2(100%),1,2,3.0,0.0,2.0,0.0,0.0,0.0,-9.0,2.0,Phoenix,Indeportes Antioquia,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118322-IND-BAP,Desconocida,118322-IND-BAP
12,Mo Bennett,12:14,2,1/3(33.3%),1/3(33.3%),0/0(0%),0/0(0%),2,3,5.0,1.0,4.0,1.0,2.0,0.0,-5.0,7.0,Phoenix,Indeportes Antioquia,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118322-IND-BAP,Desconocida,118322-IND-BAP
15,Jazmine Jackson,23:45,1,0/5(0%),0/1(0%),0/4(0%),1/2(50%),1,2,3.0,3.0,1.0,0.0,1.0,0.0,3.0,2.0,Phoenix,Indeportes Antioquia,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118322-IND-BAP,Desconocida,118322-IND-BAP
22,Faatimah A,14:18,4,2/7(28.6%),2/6(33.3%),0/1(0%),0/0(0%),2,3,5.0,0.0,1.0,1.0,1.0,0.0,-2.0,4.0,Phoenix,Indeportes Antioquia,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118322-IND-BAP,Desconocida,118322-IND-BAP
24,Aliyah Collier *,27:56,12,4/12(33.3%),4/8(50%),0/4(0%),4/5(80%),3,5,8.0,3.0,0.0,4.0,4.0,2.0,7.0,16.0,Phoenix,Indeportes Antioquia,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118322-IND-BAP,Desconocida,118322-IND-BAP
30,Rebecca Harris *,34:22,15,7/13(53.8%),6/8(75%),1/5(20%),0/0(0%),3,9,12.0,0.0,2.0,2.0,1.0,1.0,6.0,21.0,Phoenix,Indeportes Antioquia,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118322-IND-BAP,Desconocida,118322-IND-BAP
32,Emer Nichols,No jugó,No jugó,No jugó,No jugó,No jugó,No jugó,No jugó,No jugó,,,,,,,,,Phoenix,Indeportes Antioquia,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118322-IND-BAP,Desconocida,118322-IND-BAP
Team/Coaches,Team/Coaches,,,,,,,2,3,5.0,,1.0,1.0,,,,58.0,Phoenix,Indeportes Antioquia,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118322-IND-BAP,Desconocida,118322-IND-BAP
TOTAL,TOTAL,200,53,21/75(28%),19/52(36.5%),2/23(8.7%),9/13(69.2%),18,34,52.0,12.0,17.0,15.0,15.0,3.0,,58.0,Phoenix,Indeportes Antioquia,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118322-IND-BAP,Desconocida,118322-IND-BAP
